DC0020B001,SQLSTDITEMPSWORKENTRY,G0001,B0001,D:\EXPJStudio\log,sqlStdItemPsWorkEntry.log,9,1
DC0020B001,SQLSTDMATRPROCCHECK,G0001,B0001,D:\EXPJStudio\log,sqlStdMatrProcCheck.log,9,1
DE0020B001,SQLCSMASTDELETE,G0001,B0001,D:\EXPJStudio\log,sqlCsMastDelete.log,9,1
DE0030B001,SQLCSMASTIFDELETE,G0001,B0001,D:\EXPJStudio\log,sqlCsMastIfDelete.log,9,1
DE0040B001,SQLCSCALCTRNDELETE,G0001,B0001,D:\EXPJStudio\log,sqlCsCalcTrnDelete.log,9,1
GD0090B001,SQLACTUALCOSTACCOUNTRETURN,G0001,B0001,D:\EXPJStudio\log,SqlActualCostAccountReturn.log,9,1
GD0090B001,SQLWKINCALCRATIOCREATE,G0001,B0001,D:\EXPJStudio\log,SqlWkInCalcRatioCreate.log,9,1
GD0090B001,SQLWKINAMOUNTSHIFT,G0001,B0001,D:\EXPJStudio\log,SqlWkInAmountShift.log,9,1
GD0090B001,SQLMONTHENDSTOCKACUPDATE,G0001,B0001,D:\EXPJStudio\log,SqlMonthEndStockAcUpdate.log,9,1
GD0090B001,SQLDIRECTPROCCOSTTOTAL,G0001,B0001,D:\EXPJStudio\log,SqlDirectProcCostTotal.log,9,1
GD0090B001,SQLDIRECTMATRSBCNTCOSTTOTAL,G0001,B0001,D:\EXPJStudio\log,SqlDirectMatrSbcntCostTotal.log,9,1
GD0090B001,SQLDIRECTEXPCOSTTOTAL,G0001,B0001,D:\EXPJStudio\log,SqlDirectExpCostTotal.log,9,1
GD0090B001,SQLINDIRECTCOSTALLOCATION,G0001,B0001,D:\EXPJStudio\log,SqlIndirectCostAllocation.log,9,1
GD0090B001,SQLPROCESSACTUALCOSTACCOUNT,G0001,B0001,D:\EXPJStudio\log,SqlProcessActualCostAccount.log,9,1
GD0090B001,SQLJOBACTUALCOSTACCOUNT,G0001,B0001,D:\EXPJStudio\log,SqlJobActualCostAccount.log,9,1
GD0090B002,SQLACTUALCOSTACCOUNTRETURN,G0001,B0001,D:\EXPJStudio\log,SqlActualCostAccountReturn.log,9,1
GD0090B002,SQLWKINCALCRATIOCREATE,G0001,B0001,D:\EXPJStudio\log,SqlWkInCalcRatioCreate.log,9,1
GD0090B002,SQLWKINAMOUNTSHIFT,G0001,B0001,D:\EXPJStudio\log,SqlWkInAmountShift.log,9,1
GD0090B002,SQLDIRECTPROCCOSTTOTAL,G0001,B0001,D:\EXPJStudio\log,SqlDirectProcCostTotal.log,9,1
